date,store,category,product,supplier,unit_price,discount_pct,sell_price,demand,units_sold,lost_sales,revenue,opening_stock,closing_stock,reorder_point,reorder_qty,reordered,ordered_qty,received_qty,stockout,promo_event,lead_time_days,on_time_rate,defect_rate,supplier_delay
2023-01-15,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,97,1,96,28.0,1,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-01-16,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,43,0,43,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-17,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,60,0,60,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-18,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,46,0,46,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-19,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,48,0,1680.0,325,277,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-01-20,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,57,57,0,1995.0,277,220,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-21,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,65,65,0,2275.0,220,155,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-22,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,56,56,0,1960.0,155,99,144,325,1,325,0,0,0,8,0.88,0.02,1
2023-01-23,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,56,56,0,1764.0,99,43,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-24,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,44,43,1,1505.0,43,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-25,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,0,49,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-26,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,41,0,41,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-27,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,42,0,42,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-28,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,96,0,96,0.0,0,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-01-29,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,57,0,57,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-30,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,48,0,48,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-01-31,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,55,0,55,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,61,61,0,2135.0,325,264,144,325,0,0,325,0,1,8,0.88,0.02,0
2023-02-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,41,41,0,1435.0,264,223,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,42,42,0,1396.5,223,181,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,63,63,0,2205.0,181,118,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-02-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,62,62,0,2170.0,118,56,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,70,56,14,1960.0,56,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-02-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,50,0,50,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,32,0,32,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,45,0,45,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,38,0,38,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,57,0,57,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,54,54,0,1890.0,325,271,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-02-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,32,32,0,1064.0,271,239,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-14,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,45,45,0,1575.0,239,194,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-15,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,42,42,0,1470.0,194,152,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-16,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,40,40,0,1400.0,152,112,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-02-17,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,48,0,1680.0,112,64,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-18,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,50,50,0,1750.0,64,14,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-19,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,65,14,51,490.0,14,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-20,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,40,0,40,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-21,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,44,0,44,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-22,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,36,0,36,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-23,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,40,0,40,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-02-24,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,34,34,0,1190.0,325,291,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-02-25,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,42,42,0,1470.0,291,249,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-26,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,42,42,0,1249.5,249,207,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-27,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,42,42,0,1470.0,207,165,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-02-28,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,40,40,0,1400.0,165,125,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-03-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,41,41,0,1435.0,125,84,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,47,47,0,1562.75,84,37,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,54,37,17,1295.0,37,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,66,0,66,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,67,0,67,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,50,0,50,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,50,0,50,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,54,54,0,1701.0,325,271,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-03-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,49,0,1715.0,271,222,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,46,46,0,1529.5,222,176,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,57,57,0,1995.0,176,119,144,325,1,325,0,0,0,8,0.88,0.02,1
2023-03-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,62,62,0,2170.0,119,57,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,52,52,0,1729.0,57,5,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-14,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,56,5,51,148.75,5,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-15,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,52,0,52,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-16,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,30,0,30,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-17,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-18,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,0,48,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-19,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,72,0,72,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-20,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,50,0,50,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-21,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,47,47,0,1645.0,325,278,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-03-22,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,48,0,1680.0,278,230,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-23,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,46,46,0,1610.0,230,184,144,325,0,0,0,0,1,8,0.88,0.02,0
2023-03-24,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,48,48,0,1512.0,184,136,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-03-25,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,56,56,0,1764.0,136,80,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-26,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,64,64,0,1904.0,80,16,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-03-27,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,44,16,28,560.0,16,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-28,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,0,48,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-29,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,85,0,85,0.0,0,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-03-30,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-03-31,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,46,0,46,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,54,54,0,1890.0,325,271,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-04-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,61,61,0,2135.0,271,210,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,49,0,1715.0,210,161,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,44,44,0,1463.0,161,117,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-04-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,37,37,0,1295.0,117,80,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,43,43,0,1505.0,80,37,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,46,37,9,1295.0,37,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,72,0,72,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,54,0,54,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,41,0,41,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,39,0,39,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,45,45,0,1575.0,325,280,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-04-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,53,53,0,1855.0,280,227,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-14,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,43,43,0,1354.5,227,184,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-15,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,69,69,0,2052.75,184,115,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-04-16,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,73,73,0,2555.0,115,42,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-17,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,36,36,0,1260.0,42,6,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-18,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,6,43,210.0,6,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-19,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,36,0,36,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-20,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,60,0,60,0.0,0,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-04-21,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,52,0,52,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-22,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,62,0,62,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-23,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,52,52,0,1820.0,325,273,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-04-24,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,39,39,0,1365.0,273,234,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-25,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,49,49,0,1543.5,234,185,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-26,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,40,40,0,1330.0,185,145,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-27,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,48,0,1680.0,145,97,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-04-28,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,41,41,0,1291.5,97,56,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-04-29,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,57,56,1,1960.0,56,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-04-30,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,57,0,57,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,51,0,51,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,40,0,40,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,49,0,1715.0,325,276,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-05-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,49,0,1715.0,276,227,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,58,58,0,2030.0,227,169,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,39,39,0,1365.0,169,130,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-05-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,47,47,0,1480.5,130,83,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,33,33,0,1155.0,83,50,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,33,33,0,1155.0,50,17,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,44,17,27,535.5,17,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,46,0,46,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-14,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,49,0,49,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-15,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,25,0,25,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-16,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,55,55,0,1925.0,325,270,144,325,0,0,325,0,1,8,0.88,0.02,0
2023-05-17,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,48,48,0,1428.0,270,222,144,325,0,0,0,0,1,8,0.88,0.02,0
2023-05-18,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,61,61,0,2135.0,222,161,144,325,0,0,0,0,1,8,0.88,0.02,0
2023-05-19,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,30,30,0,945.0,161,131,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-05-20,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,54,54,0,1890.0,131,77,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-21,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,61,61,0,2028.25,77,16,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-22,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,52,16,36,504.0,16,0,144,325,0,0,0,1,1,8,0.88,0.02,0
2023-05-23,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,31,0,31,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-24,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-25,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,48,0,48,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-26,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,39,0,39,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-05-27,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,50,50,0,1750.0,325,275,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-05-28,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,59,59,0,1961.75,275,216,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-29,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,48,48,0,1512.0,216,168,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-05-30,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,40,40,0,1400.0,168,128,144,325,1,325,0,0,0,8,0.88,0.02,1
2023-05-31,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,41,41,0,1435.0,128,87,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-06-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,46,46,0,1610.0,87,41,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-06-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,38,38,0,1263.5,41,3,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-06-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,3,45,105.0,3,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,43,0,43,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,38,0,38,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,35,0,35,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,39,0,39,0.0,0,0,144,325,0,0,0,1,0,8,0.88,0.02,0
2023-06-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,27,27,0,756.0,325,298,144,325,0,0,325,0,0,8,0.88,0.02,0
2023-06-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,54,54,0,1795.5,298,244,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-06-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,82,82,0,2870.0,244,162,144,325,0,0,0,0,1,8,0.88,0.02,0
2023-06-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,25,25,0,700.0,162,137,144,325,1,325,0,0,0,8,0.88,0.02,1
2023-06-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,37,37,0,1295.0,137,100,144,325,0,0,0,0,0,8,0.88,0.02,0
