store,product,average_daily_demand,demand_std,annual_demand,unit_price,lead_time_days,reorder_point_existing,current_stock,safety_stock,calculated_rop,holding_cost_per_unit,eoq,inventory_status,recommended_order_qty,shortage_to_rop
Store_Delhi,Shoes,42,14,30736,90.0,8.0,160.0,0,64,400,18.0,1307,CRITICAL,1307,400
Store_Mumbai,Water Bottle,40,13,28964,10.0,9.0,130.0,28,62,419,2.0,3806,CRITICAL,3806,391
Store_Delhi,Jacket,45,15,32879,120.0,7.0,149.0,0,66,381,24.0,1170,CRITICAL,1170,381
Store_Pune,Smartphone,44,15,32498,800.0,7.0,191.0,0,64,376,160.0,451,CRITICAL,451,376
Store_Bengaluru,Tablet,43,15,31632,400.0,7.0,172.0,0,66,369,80.0,629,CRITICAL,629,369
Store_Delhi,Badminton Set,39,13,28269,35.0,8.0,179.0,0,60,369,7.0,2010,CRITICAL,2010,369
Store_Delhi,Cooking Oil,38,13,27818,12.0,8.0,197.0,0,61,365,2.4000000000000004,3405,CRITICAL,3405,365
Store_Hyderabad,RC Car,38,13,28017,55.0,9.0,140.0,48,63,408,11.0,1596,CRITICAL,1596,360
Store_Mumbai,Mixer Grinder,55,19,40150,70.0,5.0,199.0,0,69,343,14.0,1693,CRITICAL,1693,343
Store_Delhi,Dumbbells,45,15,33145,40.0,7.0,140.0,41,65,383,8.0,2035,CRITICAL,2035,342
Store_Delhi,Rice (5kg),40,13,29326,15.0,7.0,141.0,0,59,339,3.0,3127,CRITICAL,3127,339
Store_Pune,Instant Noodles,39,13,28660,3.0,7.0,153.0,0,58,333,0.6000000000000001,6911,CRITICAL,6911,333
Store_Pune,Board Game,39,13,28164,25.0,7.0,162.0,0,57,327,5.0,2373,CRITICAL,2373,327
Store_Hyderabad,Cooking Oil,34,12,24827,12.0,8.0,171.0,0,54,326,2.4000000000000004,3216,CRITICAL,3216,326
Store_Bengaluru,Puzzle,38,13,27873,20.0,7.0,147.0,0,56,323,4.0,2640,CRITICAL,2640,323
Store_Mumbai,Rice (5kg),41,14,30141,15.0,7.0,171.0,35,61,350,3.0,3170,CRITICAL,3170,315
Store_Bengaluru,Pressure Cooker,37,12,26818,45.0,7.0,135.0,0,54,310,9.0,1726,CRITICAL,1726,310
Store_Hyderabad,Yoga Mat,29,10,21136,30.0,9.0,134.0,0,48,308,6.0,1877,CRITICAL,1877,308
Store_Mumbai,Dress,32,11,23548,80.0,8.0,136.0,0,50,308,16.0,1213,CRITICAL,1213,308
Store_Delhi,Cricket Bat,25,9,18273,60.0,10.0,162.0,0,45,295,12.0,1234,CRITICAL,1234,295
Store_Pune,Pressure Cooker,38,13,27467,45.0,7.0,157.0,26,55,318,9.0,1747,CRITICAL,1747,292
Store_Hyderabad,Non-stick Pan,40,13,28934,35.0,7.0,141.0,44,58,335,7.0,2033,CRITICAL,2033,291
Store_Bengaluru,Biscuits,51,18,37177,5.0,5.0,122.0,56,65,319,1.0,6097,CRITICAL,6097,263
Store_Bengaluru,Shoes,27,9,19409,90.0,8.0,156.0,0,42,254,18.0,1038,CRITICAL,1038,254
Store_Delhi,Puzzle,29,10,21345,20.0,7.0,146.0,0,44,249,4.0,2310,CRITICAL,2310,249
Store_Hyderabad,Biscuits,39,13,28567,5.0,5.0,188.0,0,49,244,1.0,5345,CRITICAL,5345,244
Store_Mumbai,Biscuits,39,13,28560,5.0,5.0,159.0,0,48,244,1.0,5344,CRITICAL,5344,244
Store_Pune,Badminton Set,24,8,17285,35.0,8.0,196.0,0,39,228,7.0,1571,CRITICAL,1571,228
Store_Delhi,T-Shirt,28,9,20171,20.0,7.0,177.0,15,41,234,4.0,2246,CRITICAL,2246,219
Store_Pune,Lego Set,35,12,25737,40.0,5.0,138.0,0,43,219,8.0,1794,CRITICAL,1794,219
Store_Mumbai,Lego Set,34,12,25174,40.0,5.0,143.0,0,43,215,8.0,1774,CRITICAL,1774,215
Store_Hyderabad,Tea Packets,25,9,18354,8.0,7.0,192.0,0,38,214,1.6,3387,CRITICAL,3387,214
Store_Pune,Shoes,23,8,17023,90.0,8.0,192.0,16,37,223,18.0,972,CRITICAL,972,207
Store_Mumbai,Smartwatch,24,8,17620,250.0,7.0,199.0,0,35,203,50.0,594,CRITICAL,594,203
Store_Pune,Rice (5kg),24,8,17589,15.0,7.0,164.0,0,34,203,3.0,2421,CRITICAL,2421,203
Store_Delhi,Smartphone,26,9,19129,800.0,7.0,157.0,27,38,221,160.0,346,CRITICAL,346,194
Store_Hyderabad,Headphones,17,6,12579,150.0,10.0,136.0,19,31,203,30.0,648,CRITICAL,648,184
Store_Pune,Dumbbells,21,8,15652,40.0,7.0,156.0,0,33,183,8.0,1399,CRITICAL,1399,183
Store_Delhi,Laptop,29,10,21130,1200.0,5.0,192.0,24,37,182,240.0,297,CRITICAL,297,158
Store_Pune,Mixer Grinder,28,10,20557,70.0,5.0,130.0,35,35,176,14.0,1212,CRITICAL,1212,141
Store_Mumbai,Football,16,6,12041,25.0,7.0,138.0,0,25,140,5.0,1552,CRITICAL,1552,140
Store_Hyderabad,Dumbbells,18,6,12870,40.0,7.0,121.0,19,27,150,8.0,1268,CRITICAL,1268,131
Store_Delhi,Headphones,50,17,36789,150.0,10.0,193.0,104,88,591,30.0,1107,REORDER,1107,487
Store_Mumbai,Cricket Bat,60,19,43865,60.0,10.0,154.0,332,100,700,12.0,1912,REORDER,1912,368
Store_Delhi,Dinner Set,55,18,39934,50.0,8.0,143.0,153,83,520,10.0,1998,REORDER,1998,367
Store_Mumbai,Dinner Set,44,15,32287,50.0,8.0,166.0,117,68,421,10.0,1797,REORDER,1797,304
Store_Mumbai,Board Game,55,18,40308,25.0,7.0,160.0,173,80,466,5.0,2839,REORDER,2839,293
Store_Hyderabad,Dress,43,14,31097,80.0,8.0,166.0,131,67,407,16.0,1394,REORDER,1394,276
Store_Bengaluru,Dress,42,15,30862,80.0,8.0,151.0,177,70,408,16.0,1389,REORDER,1389,231
Store_Mumbai,Headphones,41,14,29887,150.0,10.0,122.0,252,74,482,30.0,998,REORDER,998,230
Store_Mumbai,Doll,62,20,45201,15.0,8.0,191.0,381,93,588,3.0,3882,REORDER,3882,207
Store_Pune,Tea Packets,38,13,27838,8.0,7.0,196.0,124,55,322,1.6,4171,REORDER,4171,198
Store_Delhi,Lego Set,44,15,32262,40.0,5.0,196.0,80,54,275,8.0,2008,REORDER,2008,195
Store_Pune,Dress,32,11,23596,80.0,8.0,175.0,116,52,311,16.0,1214,REORDER,1214,195
Store_Hyderabad,T-Shirt,38,13,27887,20.0,7.0,156.0,142,58,325,4.0,2640,REORDER,2640,183
Store_Hyderabad,Mixer Grinder,44,15,32316,70.0,5.0,121.0,102,54,275,14.0,1519,REORDER,1519,173
Store_Hyderabad,Laptop,45,15,32856,1200.0,5.0,171.0,114,56,281,240.0,370,REORDER,370,167
Store_Delhi,Non-stick Pan,23,8,16849,35.0,7.0,125.0,61,35,197,7.0,1551,REORDER,1551,136
Store_Bengaluru,Board Game,27,9,19815,25.0,7.0,147.0,96,40,230,5.0,1991,REORDER,1991,134
Store_Delhi,Mixer Grinder,46,16,33515,70.0,5.0,187.0,162,58,287,14.0,1547,REORDER,1547,125
Store_Pune,Yoga Mat,13,4,9366,30.0,9.0,190.0,30,22,137,6.0,1249,REORDER,1249,107
Store_Pune,Doll,21,8,15163,15.0,8.0,165.0,96,36,202,3.0,2248,REORDER,2248,106
Store_Bengaluru,Football,16,5,11333,25.0,7.0,175.0,35,24,132,5.0,1506,REORDER,1506,97
Store_Delhi,Football,29,9,20838,25.0,7.0,198.0,144,41,241,5.0,2041,REORDER,2041,97
Store_Mumbai,Shoes,16,5,11618,90.0,8.0,128.0,60,24,151,18.0,803,REORDER,803,91
Store_Bengaluru,Mixer Grinder,22,8,16103,70.0,5.0,121.0,55,28,138,14.0,1072,REORDER,1072,83
Store_Mumbai,Smartphone,34,12,24490,800.0,7.0,148.0,207,51,285,160.0,391,REORDER,391,78
Store_Pune,Jacket,26,9,18902,120.0,7.0,138.0,149,39,220,24.0,887,REORDER,887,71
Store_Bengaluru,Cooking Oil,43,15,31622,12.0,8.0,167.0,349,72,418,2.4000000000000004,3630,REORDER,3630,69
Store_Pune,Headphones,23,8,16580,150.0,10.0,159.0,200,40,267,30.0,743,REORDER,743,67
Store_Delhi,Pressure Cooker,23,8,16751,45.0,7.0,121.0,149,33,193,9.0,1364,REORDER,1364,44
Store_Mumbai,T-Shirt,55,18,40243,20.0,7.0,170.0,419,78,463,4.0,3172,REORDER,3172,44
Store_Hyderabad,Puzzle,52,17,37842,20.0,7.0,158.0,400,76,438,4.0,3076,REORDER,3076,38
Store_Bengaluru,Tea Packets,13,4,9145,8.0,7.0,186.0,70,19,106,1.6,2391,REORDER,2391,36
Store_Mumbai,Dumbbells,24,9,17840,40.0,7.0,141.0,173,37,208,8.0,1493,REORDER,1493,35
Store_Delhi,Tea Packets,12,4,8929,8.0,7.0,199.0,76,19,104,1.6,2362,REORDER,2362,28
Store_Pune,Jeans,11,4,7931,60.0,7.0,128.0,70,16,92,12.0,813,REORDER,813,22
Store_Hyderabad,Dinner Set,30,10,22268,50.0,8.0,187.0,272,48,292,10.0,1492,REORDER,1492,20
Store_Hyderabad,Cricket Bat,38,12,27464,60.0,10.0,177.0,424,65,440,12.0,1513,REORDER,1513,16
Store_Bengaluru,Jacket,34,11,25174,120.0,7.0,156.0,280,49,290,24.0,1024,REORDER,1024,10
Store_Delhi,Doll,14,4,9873,15.0,8.0,151.0,119,21,129,3.0,1814,REORDER,1814,10
Store_Bengaluru,Dumbbells,27,9,19545,40.0,7.0,181.0,218,39,226,8.0,1563,REORDER,1563,8
Store_Pune,Football,40,14,29455,25.0,7.0,176.0,334,60,342,5.0,2427,REORDER,2427,8
Store_Delhi,Water Bottle,8,3,6121,10.0,9.0,195.0,83,15,90,2.0,1749,REORDER,1749,7
Store_Mumbai,Non-stick Pan,13,5,9387,35.0,7.0,164.0,108,20,110,7.0,1158,REORDER,1158,2
Store_Delhi,Biscuits,50,18,36484,5.0,5.0,177.0,314,65,315,1.0,6040,REORDER,6040,1
Store_Pune,Non-stick Pan,28,9,20222,35.0,7.0,125.0,231,39,232,7.0,1700,REORDER,1700,1
Store_Hyderabad,Lego Set,51,16,36996,40.0,5.0,123.0,313,60,313,8.0,2150,REORDER,2150,0
Store_Bengaluru,Dinner Set,18,6,12832,50.0,8.0,139.0,285,29,169,10.0,1133,NORMAL,0,0
Store_Bengaluru,Instant Noodles,20,7,14568,3.0,7.0,177.0,331,30,170,0.6000000000000001,4927,NORMAL,0,0
Store_Bengaluru,Laptop,11,4,7837,1200.0,5.0,187.0,135,14,67,240.0,181,NORMAL,0,0
Store_Bengaluru,Lego Set,30,10,22041,40.0,5.0,185.0,294,38,189,8.0,1660,NORMAL,0,0
Store_Bengaluru,Non-stick Pan,27,9,19577,35.0,7.0,142.0,266,39,227,7.0,1672,NORMAL,0,0
Store_Bengaluru,Rice (5kg),21,7,15673,15.0,7.0,149.0,290,32,183,3.0,2286,NORMAL,0,0
Store_Bengaluru,Smartphone,9,3,6752,800.0,7.0,138.0,293,14,78,160.0,205,NORMAL,0,0
Store_Bengaluru,T-Shirt,28,10,20571,20.0,7.0,147.0,268,43,240,4.0,2268,NORMAL,0,0
Store_Bengaluru,Water Bottle,12,4,8476,10.0,9.0,131.0,410,19,124,2.0,2059,NORMAL,0,0
Store_Bengaluru,Yoga Mat,8,3,5630,30.0,9.0,181.0,253,15,84,6.0,969,NORMAL,0,0
Store_Delhi,Board Game,12,4,8867,25.0,7.0,173.0,110,19,104,5.0,1332,NORMAL,0,0
Store_Delhi,Dress,11,4,8347,80.0,8.0,179.0,122,20,111,16.0,722,NORMAL,0,0
Store_Delhi,Instant Noodles,9,3,6885,3.0,7.0,195.0,279,14,80,0.6000000000000001,3387,NORMAL,0,0
Store_Delhi,RC Car,6,2,4684,55.0,9.0,173.0,478,11,69,11.0,653,NORMAL,0,0
Store_Delhi,Smartwatch,13,4,9385,250.0,7.0,198.0,149,20,109,50.0,433,NORMAL,0,0
Store_Delhi,Tablet,11,4,8367,400.0,7.0,179.0,227,17,97,80.0,323,NORMAL,0,0
Store_Hyderabad,Badminton Set,12,4,8959,35.0,8.0,152.0,157,20,118,7.0,1131,NORMAL,0,0
Store_Hyderabad,Board Game,26,9,19177,25.0,7.0,129.0,343,39,222,5.0,1958,NORMAL,0,0
Store_Hyderabad,Doll,8,3,6150,15.0,8.0,196.0,336,14,81,3.0,1432,NORMAL,0,0
Store_Hyderabad,Football,6,2,4714,25.0,7.0,155.0,412,10,55,5.0,971,NORMAL,0,0
Store_Hyderabad,Instant Noodles,10,4,7371,3.0,7.0,147.0,207,16,86,0.6000000000000001,3505,NORMAL,0,0
Store_Hyderabad,Jacket,10,4,7373,120.0,7.0,170.0,517,16,86,24.0,554,NORMAL,0,0
Store_Hyderabad,Jeans,12,4,8431,60.0,7.0,135.0,127,17,98,12.0,838,NORMAL,0,0
Store_Hyderabad,Rice (5kg),12,4,8446,15.0,7.0,136.0,331,18,98,3.0,1678,NORMAL,0,0
Store_Hyderabad,Shoes,18,6,13279,90.0,8.0,158.0,264,28,173,18.0,859,NORMAL,0,0
Store_Hyderabad,Smartphone,17,6,12637,800.0,7.0,125.0,238,27,148,160.0,281,NORMAL,0,0
Store_Hyderabad,Smartwatch,10,3,7132,250.0,7.0,179.0,201,14,82,50.0,378,NORMAL,0,0
Store_Mumbai,Badminton Set,7,3,5318,35.0,8.0,120.0,291,12,70,7.0,872,NORMAL,0,0
Store_Mumbai,Jacket,22,7,16237,120.0,7.0,181.0,256,32,187,24.0,823,NORMAL,0,0
Store_Mumbai,Jeans,8,3,5646,60.0,7.0,193.0,302,12,66,12.0,686,NORMAL,0,0
Store_Mumbai,Laptop,9,3,6487,1200.0,5.0,179.0,524,12,56,240.0,164,NORMAL,0,0
Store_Mumbai,Pressure Cooker,22,8,16015,45.0,7.0,183.0,395,34,187,9.0,1334,NORMAL,0,0
Store_Mumbai,Puzzle,30,10,22207,20.0,7.0,154.0,263,44,256,4.0,2356,NORMAL,0,0
Store_Mumbai,Tablet,29,10,20961,400.0,7.0,130.0,349,42,242,80.0,512,NORMAL,0,0
Store_Mumbai,Tea Packets,13,4,9374,8.0,7.0,143.0,349,19,109,1.6,2420,NORMAL,0,0
Store_Mumbai,Yoga Mat,7,3,5294,30.0,9.0,180.0,346,13,78,6.0,939,NORMAL,0,0
Store_Pune,Biscuits,15,5,10658,5.0,5.0,139.0,483,18,91,1.0,3265,NORMAL,0,0
Store_Pune,Cooking Oil,7,3,5151,12.0,8.0,194.0,283,12,69,2.4000000000000004,1465,NORMAL,0,0
Store_Pune,Laptop,14,5,10283,1200.0,5.0,125.0,96,18,88,240.0,207,NORMAL,0,0
Store_Pune,Puzzle,6,2,4706,20.0,7.0,176.0,252,10,55,4.0,1085,NORMAL,0,0
Store_Pune,RC Car,13,5,9867,55.0,9.0,190.0,315,23,145,11.0,947,NORMAL,0,0
Store_Pune,Smartwatch,16,6,12041,250.0,7.0,164.0,248,24,139,50.0,491,NORMAL,0,0
Store_Pune,T-Shirt,8,3,6152,20.0,7.0,149.0,251,14,73,4.0,1240,NORMAL,0,0
Store_Pune,Tablet,7,2,4970,400.0,7.0,160.0,304,10,58,80.0,249,NORMAL,0,0
Store_Pune,Water Bottle,18,6,12891,10.0,9.0,127.0,198,30,189,2.0,2539,NORMAL,0,0
