date,demand,units_sold,lost_sales,revenue
2023-03-01,3689,3270,419,359393.0
2023-03-02,3767,3153,614,343567.45
2023-03-03,3782,2976,806,328897.65
2023-03-04,4904,4006,898,514758.15
2023-03-05,5024,3997,1027,423720.0
2023-03-06,3780,2919,861,318950.35
2023-03-07,3689,3012,677,310528.4
2023-03-08,3886,3133,753,376392.35
2023-03-09,3902,3358,544,373205.75
2023-03-10,3603,3173,430,342502.15
2023-03-11,4947,4269,678,442068.65
2023-03-12,5104,4247,857,549346.3
2023-03-13,3759,2909,850,305998.55
2023-03-14,3788,2760,1028,304135.7
2023-03-15,3688,2766,922,316028.8
2023-03-16,3677,2954,723,357753.75
2023-03-17,3628,2965,663,356022.7
2023-03-18,4915,4097,818,463146.45
2023-03-19,4971,3963,1008,459602.7
2023-03-20,3693,2920,773,336954.3
2023-03-21,3737,3127,610,315311.45
2023-03-22,3685,3136,549,334782.4
2023-03-23,3795,3301,494,373430.9
2023-03-24,3900,3330,570,328646.85
2023-03-25,4962,4252,710,505603.7
2023-03-26,4896,4126,770,491048.75
2023-03-27,3709,3060,649,387590.45
2023-03-28,3643,2955,688,372405.35
2023-03-29,3803,3098,705,353662.3
2023-03-30,3723,3022,701,360581.6
2023-03-31,3804,2831,973,334798.15
2023-04-01,4832,3620,1212,408198.1
2023-04-02,4604,3779,825,412830.4
2023-04-03,3641,3076,565,292158.5
2023-04-04,3528,3041,487,303339.75
2023-04-05,3508,3054,454,335380.05
2023-04-06,3485,3052,433,389426.05
2023-04-07,3619,3281,338,351771.4
2023-04-08,4669,3952,717,442610.15
2023-04-09,4737,3991,746,443971.45
2023-04-10,3611,3110,501,339935.5
2023-04-11,3561,3091,470,366135.95
2023-04-12,3643,3068,575,362838.1
2023-04-13,3664,2928,736,356366.2
2023-04-14,3610,2879,731,310052.7
2023-04-15,4780,3872,908,454913.05
2023-04-16,4736,3855,881,406411.35
2023-04-17,3619,2908,711,327246.15
2023-04-18,3509,2753,756,301663.75
2023-04-19,3707,2964,743,301459.2
2023-04-20,3599,2860,739,339391.8
2023-04-21,3650,3037,613,351863.65
2023-04-22,4522,3839,683,475525.1
2023-04-23,4682,4144,538,479950.05
2023-04-24,3547,3243,304,370460.85
2023-04-25,3604,3194,410,392418.2
2023-04-26,3544,3113,431,358591.1
2023-04-27,3537,2832,705,286655.75
2023-04-28,3639,2801,838,271744.75
2023-04-29,4680,3709,971,405028.55
2023-04-30,4570,3720,850,390556.4
2023-05-01,3120,2693,427,290126.75
2023-05-02,3005,2396,609,270105.85
2023-05-03,3105,2488,617,268264.85
2023-05-04,3040,2524,516,303347.4
2023-05-05,3089,2679,410,308006.4
2023-05-06,4180,3795,385,461316.7
2023-05-07,4063,3744,319,467425.55
2023-05-08,3060,2816,244,307899.75
2023-05-09,3116,2745,371,305858.25
2023-05-10,3120,2676,444,286511.0
2023-05-11,3067,2636,431,288883.6
2023-05-12,3109,2573,536,303228.15
2023-05-13,4039,3509,530,397581.25
2023-05-14,4003,3394,609,392547.1
2023-05-15,3187,2794,393,305515.2
2023-05-16,3098,2779,319,319288.45
2023-05-17,3093,2716,377,297546.0
2023-05-18,3069,2755,314,306579.0
2023-05-19,3142,2864,278,298145.5
2023-05-20,4220,3764,456,429102.3
2023-05-21,4118,3564,554,433910.35
2023-05-22,3143,2769,374,319461.4
2023-05-23,3117,2654,463,304679.65
2023-05-24,3117,2629,488,281784.1
2023-05-25,3189,2771,418,308953.45
2023-05-26,3248,2829,419,307300.6
2023-05-27,4135,3637,498,394304.4
2023-05-28,4071,3434,637,365959.7
2023-05-29,3061,2488,573,292056.55
2023-05-30,3000,2633,367,280741.2
2023-05-31,3061,2699,362,301193.85
2023-06-01,3039,2783,256,327915.45
2023-06-02,3027,2783,244,301209.95
2023-06-03,3754,3312,442,393331.3
2023-06-04,3711,3243,468,381372.25
2023-06-05,2930,2618,312,308623.15
2023-06-06,2976,2620,356,276132.8
2023-06-07,2907,2453,454,261990.4
2023-06-08,2988,2547,441,285354.3
2023-06-09,2927,2558,369,275725.75
2023-06-10,3870,3458,412,376747.55
2023-06-11,3885,3521,364,395440.55
2023-06-12,2923,2566,357,268436.35
2023-06-13,2931,2545,386,282799.3
2023-06-14,2912,2740,172,288000.65
2023-06-15,2941,2739,202,314777.7
2023-06-16,2927,2720,207,317358.55
2023-06-17,3821,3486,335,396891.1
2023-06-18,3917,3515,402,414070.75
2023-06-19,2847,2556,291,294145.5
2023-06-20,2856,2508,348,293258.35
2023-06-21,2957,2412,545,289258.9
2023-06-22,2980,2378,602,282491.85
2023-06-23,2994,2520,474,283456.15
2023-06-24,4002,3441,561,365542.35
2023-06-25,3850,3451,399,345405.85
2023-06-26,2915,2627,288,266276.3
2023-06-27,2996,2774,222,312198.2
2023-06-28,2981,2750,231,305051.1
2023-06-29,2936,2644,292,307410.45
2023-06-30,2990,2596,394,291959.25
2023-07-01,4664,4192,472,484445.4
2023-07-02,4682,4215,467,500725.45
2023-07-03,3662,3207,455,381514.0
2023-07-04,3646,3100,546,351540.95
2023-07-05,3685,2966,719,290178.7
2023-07-06,3660,2941,719,294711.25
2023-07-07,3710,2790,920,281266.85
2023-07-08,4817,3879,938,394572.4
2023-07-09,4817,4034,783,460762.15
2023-07-10,3581,3064,517,351150.8
2023-07-11,3592,3060,532,352016.1
2023-07-12,3675,3088,587,368253.6
2023-07-13,3596,2951,645,355980.7
2023-07-14,3679,3115,564,372508.25
2023-07-15,4824,3996,828,474360.6
2023-07-16,4799,3974,825,476775.6
2023-07-17,3691,3174,517,352692.1
2023-07-18,3613,2954,659,346357.65
2023-07-19,3607,2867,740,279303.25
2023-07-20,3677,3097,580,345681.55
2023-07-21,3693,2926,767,320526.35
2023-07-22,4815,3681,1134,436927.55
2023-07-23,4771,3970,801,426699.65
2023-07-24,3641,3061,580,369204.6
2023-07-25,3762,3242,520,372992.35
2023-07-26,3700,3158,542,385143.2
2023-07-27,3720,3206,514,404186.55
2023-07-28,3748,3128,620,358815.8
2023-07-29,4722,3807,915,428164.0
2023-07-30,4850,3841,1009,457337.5
2023-07-31,3666,3052,614,306370.45
2023-08-01,3515,2868,647,308100.2
2023-08-02,3448,2819,629,330870.85
2023-08-03,3589,3016,573,330632.9
2023-08-04,3494,2991,503,347910.05
2023-08-05,4531,3934,597,465793.25
2023-08-06,4575,3914,661,435053.45
2023-08-07,3441,2961,480,349638.0
2023-08-08,3520,3086,434,363825.45
2023-08-09,3433,2825,608,294348.8
2023-08-10,3616,2932,684,358818.7
2023-08-11,3586,2976,610,320216.05
2023-08-12,4509,3873,636,435599.45
2023-08-13,4598,3692,906,436526.5
2023-08-14,3462,2915,547,320949.6
2023-08-15,3570,3043,527,325419.45
2023-08-16,3512,2900,612,325058.05
2023-08-17,3496,3019,477,336377.45
2023-08-18,3553,3017,536,336105.7
2023-08-19,4537,3901,636,442289.05
2023-08-20,4653,3994,659,468445.9
2023-08-21,3520,2870,650,356606.7
2023-08-22,3491,2954,537,352575.05
2023-08-23,3469,2972,497,323273.1
2023-08-24,3533,2939,594,309235.45
2023-08-25,3590,2762,828,293062.3
2023-08-26,4561,3640,921,378993.9
2023-08-27,4754,3770,984,453012.25
2023-08-28,3530,2752,778,321628.75
2023-08-29,3523,3091,432,346445.05
2023-08-30,3444,2901,543,343559.95
2023-08-31,3482,2985,497,364297.7
2023-09-01,3237,2850,387,323905.15
2023-09-02,4375,3833,542,445586.6
2023-09-03,4285,3759,526,408133.7
2023-09-04,3370,3084,286,343076.95
2023-09-05,3403,3009,394,321727.7
2023-09-06,3331,2861,470,295458.15
2023-09-07,3312,2787,525,335270.3
2023-09-08,3315,2766,549,308473.0
2023-09-09,4409,3536,873,413049.35
2023-09-10,4438,3567,871,413441.55
2023-09-11,3364,2890,474,323296.85
2023-09-12,3235,2792,443,298139.9
2023-09-13,3346,2902,444,301305.05
2023-09-14,3230,2890,340,332932.05
2023-09-15,3326,2883,443,356555.65
2023-09-16,4416,4001,415,472772.3
2023-09-17,4333,3815,518,435924.45
2023-09-18,3316,2881,435,315664.65
2023-09-19,3283,2806,477,286941.6
2023-09-20,3359,2917,442,336613.3
2023-09-21,3354,2936,418,330425.85
2023-09-22,3290,2799,491,297313.9
2023-09-23,4291,3538,753,425772.5
2023-09-24,4422,3507,915,438214.2
2023-09-25,3311,2829,482,313957.1
2023-09-26,3336,2763,573,302412.4
2023-09-27,3432,2994,438,337500.9
2023-09-28,3341,2795,546,328645.75
2023-09-29,3305,2819,486,328304.85
2023-09-30,4433,3784,649,454004.6
2023-10-01,6086,5163,923,561680.25
2023-10-02,4741,3976,765,431472.2
2023-10-03,4708,3903,805,414313.15
2023-10-04,4801,3998,803,504922.55
2023-10-05,4761,3633,1128,483940.55
2023-10-06,4774,3438,1336,385861.4
2023-10-07,6286,4368,1918,506452.35
2023-10-08,6128,4092,2036,512359.25
2023-10-09,4739,3406,1333,425214.25
2023-10-10,4575,3223,1352,414408.3
2023-10-11,4719,3276,1443,362769.65
2023-10-12,4688,3532,1156,370517.05
2023-10-13,4744,3720,1024,451582.25
2023-10-14,6323,5298,1025,636150.55
2023-10-15,6249,4971,1278,540144.55
2023-10-16,4656,3644,1012,359496.5
2023-10-17,4800,3752,1048,405081.75
2023-10-18,4863,3644,1219,451355.1
2023-10-19,4966,3660,1306,464823.65
2023-10-20,4816,3614,1202,435754.35
2023-10-21,6274,4364,1910,548252.85
2023-10-22,6192,4301,1891,509333.1
2023-10-23,4709,3176,1533,333072.55
2023-10-24,4757,3487,1270,378939.55
2023-10-25,4748,3529,1219,410356.8
2023-10-26,4763,3637,1126,404246.15
2023-10-27,4789,3831,958,476790.95
2023-10-28,6089,4603,1486,548336.9
2023-10-29,6127,4294,1833,512306.1
2023-10-30,4693,3606,1087,465014.25
2023-10-31,4738,3710,1028,418516.2
2023-11-01,5533,4113,1420,465607.45
2023-11-02,5430,4063,1367,415287.15
2023-11-03,5332,3809,1523,476203.1
2023-11-04,7082,4946,2136,639132.45
2023-11-05,7171,5104,2067,555374.95
2023-11-06,5621,3567,2054,430348.75
2023-11-07,5311,3318,1993,345556.3
2023-11-08,5613,3600,2013,422076.2
2023-11-09,5385,3594,1791,464047.8
2023-11-10,5409,3797,1612,497237.4
2023-11-11,6955,5396,1559,661155.15
2023-11-12,7052,5325,1727,598764.45
2023-11-13,5508,3742,1766,427331.7
2023-11-14,5518,4020,1498,513453.05
2023-11-15,5439,3804,1635,426964.15
2023-11-16,5469,3490,1979,310006.75
2023-11-17,5382,3230,2152,358404.5
2023-11-18,7124,4683,2441,580953.8
2023-11-19,7125,5029,2096,657813.95
2023-11-20,5507,4183,1324,531189.55
2023-11-21,5479,4207,1272,501317.65
2023-11-22,5656,4195,1461,450294.55
2023-11-23,5491,3896,1595,403080.65
2023-11-24,5471,3538,1933,302092.05
2023-11-25,7206,4516,2690,401039.65
2023-11-26,7144,4815,2329,477473.65
2023-11-27,5562,3645,1917,461238.3
2023-11-28,5510,3498,2012,462206.75
2023-11-29,5536,3515,2021,484348.1
2023-11-30,5534,3509,2025,414164.25
2023-12-01,6458,4397,2061,547870.35
2023-12-02,8042,5852,2190,714365.35
2023-12-03,7989,5899,2090,661983.95
2023-12-04,6346,4209,2137,425939.0
2023-12-05,6295,4216,2079,462858.05
2023-12-06,6248,4174,2074,498155.95
2023-12-07,6241,3926,2315,460111.6
2023-12-08,6101,4076,2025,520754.95
2023-12-09,8098,5097,3001,610406.15
2023-12-10,8022,4891,3131,634275.05
2023-12-11,6152,3796,2356,437323.85
2023-12-12,6324,3756,2568,395319.7
2023-12-13,6339,3825,2514,441322.3
2023-12-14,6112,4072,2040,438752.9
2023-12-15,6012,4284,1728,481696.7
2023-12-16,8060,5544,2516,637601.05
2023-12-17,8036,5511,2525,650817.0
2023-12-18,6191,4192,1999,516631.25
2023-12-19,6306,4206,2100,474190.95
2023-12-20,6309,3862,2447,487876.45
2023-12-21,6286,3546,2740,436403.15
2023-12-22,6239,4022,2217,466547.2
2023-12-23,7939,5119,2820,527290.55
2023-12-24,8159,5621,2538,587544.75
2023-12-25,6204,4102,2102,498802.75
2023-12-26,6272,4166,2106,488903.85
2023-12-27,6280,4048,2232,465733.85
2023-12-28,6231,3987,2244,490481.0
2023-12-29,6218,3840,2378,547617.85
2023-12-30,7971,4762,3209,656485.2
2023-12-31,8209,5438,2771,575388.25
2024-01-01,4173,3017,1156,312095.95
2024-01-02,4122,2929,1193,239544.5
2024-01-03,4169,2811,1358,252605.6
2024-01-04,4123,3098,1025,368368.1
2024-01-05,4198,3266,932,358606.2
2024-01-06,5358,4336,1022,556114.8
2024-01-07,5614,4777,837,549396.9
2024-01-08,4065,3366,699,385152.7
2024-01-09,4204,3484,720,427383.35
2024-01-10,4140,3217,923,395433.3
2024-01-11,4349,3260,1089,380821.95
2024-01-12,4097,3011,1086,357698.95
2024-01-13,5407,4251,1156,400403.0
2024-01-14,5420,4083,1337,423695.55
2024-01-15,4048,3123,925,327759.3
2024-01-16,4163,3511,652,402572.0
2024-01-17,4217,3387,830,419523.2
2024-01-18,4123,3204,919,394268.15
2024-01-19,4108,3381,727,406555.6
2024-01-20,5290,4149,1141,496589.15
2024-01-21,5401,4439,962,540625.75
2024-01-22,4027,3082,945,314396.9
2024-01-23,4063,3136,927,325636.65
2024-01-24,4286,3379,907,358773.45
2024-01-25,4170,3280,890,359976.25
2024-01-26,4021,3245,776,362705.35
2024-01-27,5389,4346,1043,513411.2
2024-01-28,5370,4296,1074,484460.1
2024-01-29,4131,3006,1125,367561.35
2024-01-30,4181,3171,1010,362575.2
2024-01-31,4046,3004,1042,395819.95
2024-02-01,3399,2725,674,315407.75
2024-02-02,3539,2989,550,333076.45
2024-02-03,4514,4122,392,465673.7
2024-02-04,4521,3890,631,440508.7
2024-02-05,3547,2916,631,336398.25
2024-02-06,3378,2808,570,302291.6
2024-02-07,3500,3043,457,354286.85
2024-02-08,3529,3002,527,342606.4
2024-02-09,3545,3045,500,330682.75
2024-02-10,4412,3504,908,395792.6
2024-02-11,4568,3453,1115,414789.25
2024-02-12,3358,2597,761,308537.95
2024-02-13,3448,2987,461,346498.2
2024-02-14,3441,2988,453,319850.1
2024-02-15,3429,3047,382,346526.4
2024-02-16,3508,3139,369,345281.95
2024-02-17,4373,3789,584,424303.85
2024-02-18,4467,3899,568,395378.15
2024-02-19,3428,2960,468,329121.3
2024-02-20,3377,2818,559,320804.8
2024-02-21,3438,2877,561,332157.25
2024-02-22,3479,2861,618,329393.6
2024-02-23,3464,2710,754,335100.7
2024-02-24,4537,3673,864,428339.5
2024-02-25,4484,3739,745,481980.55
2024-02-26,3419,2815,604,308262.65
2024-02-27,3491,3059,432,328327.1
2024-02-28,3421,3173,248,343758.7
2024-02-29,3577,3160,417,360087.85
2024-03-01,4023,3524,499,395559.8
2024-03-02,5287,4429,858,447483.6
2024-03-03,5227,4031,1196,438002.6
2024-03-04,4068,3140,928,358978.0
2024-03-05,4130,3131,999,388581.0
2024-03-06,4006,3076,930,327937.15
2024-03-07,3931,2991,940,335660.05
2024-03-08,4028,3197,831,383003.0
2024-03-09,5150,4101,1049,506196.55
2024-03-10,5220,4326,894,562243.95
2024-03-11,3988,3428,560,423005.1
2024-03-12,3988,3496,492,379559.35
2024-03-13,4135,3494,641,360621.65
2024-03-14,3996,3304,692,341613.5
2024-03-15,4015,3089,926,306219.95
2024-03-16,5232,4062,1170,372910.15
2024-03-17,5221,4106,1115,439433.25
2024-03-18,4109,3066,1043,343701.55
2024-03-19,4001,3095,906,362215.9
2024-03-20,4093,3268,825,397726.55
2024-03-21,3949,3033,916,380115.1
2024-03-22,3945,3009,936,371387.1
2024-03-23,5262,3999,1263,463748.8
2024-03-24,5270,4135,1135,479144.7
2024-03-25,3980,3107,873,368117.5
2024-03-26,4075,3579,496,404411.0
2024-03-27,4033,3606,427,385522.95
2024-03-28,4086,3421,665,363280.35
2024-03-29,4033,3267,766,363560.8
2024-03-30,5241,4133,1108,435827.1
2024-03-31,5159,3980,1179,456132.3
2024-04-01,3913,3133,780,392131.95
2024-04-02,3948,3127,821,386062.65
2024-04-03,3874,3065,809,390672.85
2024-04-04,3958,2974,984,354149.45
2024-04-05,3975,3096,879,351170.15
2024-04-06,5061,4145,916,470464.05
2024-04-07,5103,4101,1002,394885.15
2024-04-08,3815,3017,798,319040.2
2024-04-09,3960,3135,825,397525.75
2024-04-10,3856,3191,665,376754.2
2024-04-11,3761,3116,645,368762.15
2024-04-12,3842,3300,542,382333.0
2024-04-13,5030,4210,820,489022.35
2024-04-14,4995,4148,847,490370.95
2024-04-15,3990,3263,727,356057.15
2024-04-16,3876,3146,730,357402.85
2024-04-17,3809,3090,719,348569.65
2024-04-18,3899,3118,781,350080.5
2024-04-19,3831,3170,661,351627.15
2024-04-20,5115,4268,847,488653.25
2024-04-21,5065,3938,1127,511655.6
2024-04-22,3910,3075,835,346794.8
2024-04-23,3868,3140,728,337523.3
2024-04-24,3798,2872,926,299550.8
2024-04-25,3955,3089,866,324401.25
2024-04-26,3938,3355,583,392403.15
2024-04-27,4897,4179,718,467879.0
2024-04-28,5015,4139,876,472337.05
2024-04-29,3925,3029,896,350951.1
2024-04-30,3858,2970,888,347975.9
2024-05-01,3405,2584,821,308043.8
2024-05-02,3358,2529,829,306293.25
2024-05-03,3304,2678,626,301900.65
2024-05-04,4366,3702,664,427440.45
2024-05-05,4370,3717,653,426662.2
2024-05-06,3437,2913,524,331034.75
2024-05-07,3391,3002,389,318252.55
2024-05-08,3265,3012,253,342500.1
2024-05-09,3295,2994,301,320485.55
2024-05-10,3362,3042,320,348097.95
2024-05-11,4329,3790,539,439178.2
2024-05-12,4312,3648,664,421620.5
2024-05-13,3381,2825,556,339991.75
2024-05-14,3486,2810,676,326310.55
2024-05-15,3212,2702,510,293173.65
2024-05-16,3367,2817,550,301658.2
2024-05-17,3299,2726,573,302830.0
2024-05-18,4286,3798,488,447069.95
2024-05-19,4396,3688,708,459876.35
2024-05-20,3479,2912,567,320673.8
2024-05-21,3349,2733,616,247473.1
2024-05-22,3396,2797,599,306400.5
2024-05-23,3372,2845,527,306120.15
2024-05-24,3295,2915,380,331182.35
2024-05-25,4357,4052,305,438150.1
2024-05-26,4320,3824,496,445018.1
2024-05-27,3280,2787,493,311563.1
2024-05-28,3349,2905,444,311397.15
2024-05-29,3507,3067,440,355051.25
2024-05-30,3397,2851,546,317968.95
2024-05-31,3308,2804,504,318943.55
2024-06-01,4091,3365,726,403232.15
2024-06-02,4151,3298,853,386304.15
2024-06-03,3155,2645,510,294749.9
2024-06-04,3126,2712,414,321031.25
2024-06-05,3166,2775,391,348637.3
2024-06-06,3256,2946,310,329637.55
2024-06-07,3092,2725,367,306725.45
2024-06-08,4295,3850,445,425453.95
2024-06-09,4097,3711,386,355257.7
2024-06-10,3119,2774,345,308415.95
2024-06-11,3217,3044,173,330557.9
2024-06-12,3086,2756,330,305145.3
2024-06-13,3191,2733,458,309234.2
2024-06-14,3316,2787,529,316838.55
2024-06-15,3977,3286,691,393695.65
2024-06-16,4128,3584,544,433098.2
2024-06-17,3188,2843,345,322551.4
2024-06-18,3133,2780,353,281686.8
2024-06-19,3228,2799,429,317253.95
2024-06-20,3150,2718,432,317274.55
2024-06-21,3243,2834,409,332210.15
2024-06-22,4161,3683,478,424799.15
2024-06-23,4171,3513,658,386974.85
2024-06-24,3180,2805,375,306581.0
2024-06-25,3102,2710,392,315528.85
2024-06-26,3212,2698,514,317721.9
2024-06-27,3199,2590,609,264717.3
2024-06-28,3205,2758,447,295230.45
2024-06-29,4288,3796,492,430878.15
2024-06-30,4129,3614,515,401043.2
2024-07-01,3955,3554,401,400176.85
2024-07-02,3909,3393,516,383496.15
2024-07-03,3910,3279,631,395665.2
2024-07-04,3905,3326,579,377573.95
2024-07-05,3982,3369,613,322677.0
2024-07-06,4956,4049,907,454890.35000000003
2024-07-07,5134,4090,1044,439418.55
2024-07-08,3904,3086,818,377657.6
2024-07-09,3883,2974,909,376298.35
2024-07-10,3985,3097,888,403391.85
2024-07-11,3864,3006,858,384497.45
2024-07-12,3867,3055,812,339804.7
2024-07-13,5152,4297,855,431274.4
2024-07-14,5115,4497,618,455215.45
2024-07-15,3973,3363,610,378266.3
2024-07-16,4086,3292,794,334055.7
2024-07-17,3952,3287,665,374544.75
2024-07-18,3840,3167,673,328508.95
2024-07-19,3897,3173,724,364313.0
2024-07-20,5151,4080,1071,421957.45
2024-07-21,5039,3765,1274,362652.4
2024-07-22,4027,3134,893,413301.5
2024-07-23,3918,3048,870,381956.35
2024-07-24,3898,3232,666,380561.2
2024-07-25,3871,3197,674,376173.35
2024-07-26,3888,3152,736,376370.55
2024-07-27,5098,4356,742,488179.85
2024-07-28,5160,4081,1079,434962.8
2024-07-29,3868,3133,735,319284.1
2024-07-30,3875,3144,731,340622.5
2024-07-31,3951,2967,984,342825.2
2024-08-01,3832,3074,758,349573.95
2024-08-02,3756,3147,609,378352.9
2024-08-03,4909,3952,957,480749.3
2024-08-04,4926,4065,861,512070.3
2024-08-05,3775,3079,696,392856.2
2024-08-06,3729,3151,578,356092.9
2024-08-07,3776,3275,501,333546.55
2024-08-08,3723,3141,582,328024.45
2024-08-09,3724,3151,573,348117.4
2024-08-10,4927,4141,786,483265.75
2024-08-11,5028,3887,1141,456160.15
2024-08-12,3641,2726,915,316697.9
2024-08-13,3727,2900,827,317144.45
2024-08-14,3758,3008,750,385098.25
2024-08-15,3734,3069,665,378036.9
2024-08-16,3775,3119,656,333054.55
2024-08-17,4939,4079,860,498236.7
2024-08-18,4881,4279,602,487062.9
2024-08-19,3602,3118,484,337737.5
2024-08-20,3722,3355,367,381952.6
2024-08-21,3753,3215,538,369969.6
2024-08-22,3779,3260,519,395640.3
2024-08-23,3813,3225,588,330937.45
2024-08-24,4775,3778,997,374313.95
2024-08-25,4918,3757,1161,440248.0
2024-08-26,3865,2884,981,330370.1
2024-08-27,3787,2901,886,350674.3
2024-08-28,3742,3218,524,369672.5
2024-08-29,3800,3259,541,387848.95
2024-08-30,3719,3075,644,364858.4
2024-08-31,4891,3789,1102,443438.4
2024-09-01,4768,3892,876,395393.0
2024-09-02,3496,2989,507,319508.8
2024-09-03,3531,3172,359,352512.1
2024-09-04,3688,3223,465,373161.2
2024-09-05,3609,2993,616,340195.9
2024-09-06,3653,2973,680,355283.8
2024-09-07,4690,3738,952,417235.65
2024-09-08,4659,3984,675,444404.7
2024-09-09,3581,3084,497,365858.8
2024-09-10,3667,3025,642,347086.4
2024-09-11,3525,2859,666,333439.05
2024-09-12,3496,2872,624,308112.3
2024-09-13,3524,3111,413,320104.6
2024-09-14,4760,4056,704,450027.2
2024-09-15,4650,3695,955,476416.6
2024-09-16,3549,2857,692,405753.25
2024-09-17,3627,2986,641,332715.0
2024-09-18,3505,2968,537,304652.15
2024-09-19,3654,3172,482,319419.15
2024-09-20,3681,3273,408,346491.25
2024-09-21,4791,4160,631,414874.8
2024-09-22,4751,4195,556,477290.95
2024-09-23,3615,2868,747,313013.4
2024-09-24,3580,2808,772,335439.3
2024-09-25,3553,2773,780,362773.45
2024-09-26,3652,2860,792,389638.35
2024-09-27,3584,2785,799,303718.2
2024-09-28,4684,3765,919,470826.25
2024-09-29,4837,4048,789,458585.4
2024-09-30,3557,3024,533,341945.95
2024-10-01,5057,4263,794,473501.3
2024-10-02,5176,4442,734,478834.7
2024-10-03,5087,4174,913,417906.6
2024-10-04,5036,3904,1132,423076.5
2024-10-05,6560,4761,1799,546144.8
2024-10-06,6573,4787,1786,620184.9
2024-10-07,5024,3531,1493,439662.1
2024-10-08,5100,3246,1854,399904.0
2024-10-09,5301,3202,2099,388735.1
2024-10-10,5259,3529,1730,407983.65
2024-10-11,5155,3366,1789,398753.35
2024-10-12,6782,4737,2045,457466.3
2024-10-13,6457,4781,1676,525587.9
2024-10-14,5080,3942,1138,488729.2
2024-10-15,5144,4080,1064,474360.35
2024-10-16,5166,3915,1251,494497.65
2024-10-17,5195,3884,1311,508319.5
2024-10-18,5109,3767,1342,480730.85
2024-10-19,6777,4844,1933,547296.2
2024-10-20,6633,4697,1936,474074.55
2024-10-21,5106,3250,1856,353595.45
2024-10-22,5084,3373,1711,406383.75
2024-10-23,5011,3608,1403,467057.45
2024-10-24,5116,3644,1472,417308.8
2024-10-25,4958,3551,1407,416327.6
2024-10-26,6667,4816,1851,583135.05
2024-10-27,6809,4835,1974,585293.1
2024-10-28,5008,3585,1423,407596.95
2024-10-29,5023,3679,1344,375863.85
2024-10-30,5169,3903,1266,417188.9
2024-10-31,5206,3946,1260,480130.1
2024-11-01,5845,4511,1334,530201.3
2024-11-02,7499,5373,2126,620808.85
2024-11-03,7423,4809,2614,593216.85
2024-11-04,5994,3708,2286,499296.25
2024-11-05,5916,3533,2383,459308.4
2024-11-06,5960,3856,2104,421947.7
2024-11-07,5872,3756,2116,422794.55
2024-11-08,5887,3956,1931,411346.9
2024-11-09,7820,5137,2683,563843.05
2024-11-10,7734,5419,2315,621107.55
2024-11-11,5722,4200,1522,481739.1
2024-11-12,5764,3977,1787,474244.95
2024-11-13,5909,3948,1961,489299.9
2024-11-14,5843,3492,2351,465363.8
2024-11-15,5823,3808,2015,398917.45
2024-11-16,7632,5282,2350,614382.35
2024-11-17,7700,5080,2620,698564.15
2024-11-18,5699,3934,1765,498676.95
